period,role,skills,count,total_role_posts,role_market_share
2026-03,Frontend Engineer,nextjs,12,287,4.18
2026-03,Frontend Engineer,node.js,6,287,2.09
2026-03,Frontend Engineer,postgresql,11,287,3.83
2026-03,Frontend Engineer,python,19,287,6.62
2026-03,Frontend Engineer,react,42,287,14.63
2026-03,Frontend Engineer,ruby,5,287,1.74
2026-03,Frontend Engineer,typescript,32,287,11.15
2026-03,General Software Engineer,ai,24,54,44.44
2026-03,General Software Engineer,go,6,54,11.11
2026-03,ML / AI Engineer,ai,11,35,31.43
2026-03,ML / AI Engineer,machine learning,14,35,40.0
2026-04,Backend Engineer,ai,17,175,9.71
2026-04,Backend Engineer,aws,10,175,5.71
2026-04,Backend Engineer,java,6,175,3.43
2026-04,Backend Engineer,javascript,10,175,5.71
2026-04,Backend Engineer,llm,6,175,3.43
2026-04,Backend Engineer,machine learning,6,175,3.43
2026-04,Backend Engineer,postgresql,5,175,2.86
2026-04,Backend Engineer,python,22,175,12.57
2026-04,Backend Engineer,ruby,5,175,2.86
2026-04,Backend Engineer,rust,7,175,4.0
2026-04,Backend Engineer,terraform,6,175,3.43
2026-04,Backend Engineer,typescript,9,175,5.14
2026-04,DevOps Engineer,kubernetes,5,30,16.67
2026-04,Frontend Engineer,ai,24,272,8.82
2026-04,Frontend Engineer,aws,11,272,4.04
2026-04,Frontend Engineer,fastapi,5,272,1.84
2026-04,Frontend Engineer,go,8,272,2.94
2026-04,Frontend Engineer,javascript,26,272,9.56
2026-04,Frontend Engineer,machine learning,5,272,1.84
2026-04,Frontend Engineer,nextjs,7,272,2.57
2026-04,Frontend Engineer,node.js,11,272,4.04
2026-04,Frontend Engineer,postgresql,12,272,4.41
2026-04,Frontend Engineer,python,21,272,7.72
2026-04,Frontend Engineer,react,36,272,13.24
2026-04,Frontend Engineer,typescript,26,272,9.56
2026-04,General Software Engineer,ai,31,53,58.49
2026-04,General Software Engineer,go,6,53,11.32
2026-04,ML / AI Engineer,ai,17,54,31.48
2026-04,ML / AI Engineer,llm,11,54,20.37
2026-04,ML / AI Engineer,machine learning,14,54,25.93
2026-04,Solutions Architect,ai,5,6,83.33
2026-05,Backend Engineer,ai,17,200,8.5
2026-05,Backend Engineer,aws,9,200,4.5
2026-05,Backend Engineer,java,6,200,3.0
2026-05,Backend Engineer,javascript,17,200,8.5
2026-05,Backend Engineer,machine learning,10,200,5.0
2026-05,Backend Engineer,python,29,200,14.5
2026-05,Backend Engineer,rust,8,200,4.0
2026-05,Backend Engineer,terraform,6,200,3.0
2026-05,Backend Engineer,typescript,15,200,7.5
2026-05,Cloud Engineer,aws,9,24,37.5
2026-05,Frontend Engineer,ai,13,197,6.6
2026-05,Frontend Engineer,aws,9,197,4.57
2026-05,Frontend Engineer,docker,5,197,2.54
2026-05,Frontend Engineer,go,5,197,2.54
2026-05,Frontend Engineer,javascript,20,197,10.15
2026-05,Frontend Engineer,postgresql,6,197,3.05
2026-05,Frontend Engineer,python,18,197,9.14
2026-05,Frontend Engineer,react,26,197,13.2
2026-05,Frontend Engineer,typescript,20,197,10.15
2026-05,General Software Engineer,ai,30,55,54.55
2026-05,General Software Engineer,go,5,55,9.09
2026-05,General Software Engineer,ios,5,55,9.09
2026-05,ML / AI Engineer,ai,13,38,34.21
2026-05,ML / AI Engineer,machine learning,12,38,31.58
2026-05,Solutions Architect,ai,5,8,62.5
2026-06,Backend Engineer,ai,16,176,9.09
2026-06,Backend Engineer,aws,7,176,3.98
2026-06,Backend Engineer,docker,6,176,3.41
2026-06,Backend Engineer,javascript,5,176,2.84
2026-06,Backend Engineer,llm,5,176,2.84
2026-06,Backend Engineer,machine learning,6,176,3.41
2026-06,Backend Engineer,python,28,176,15.91
2026-06,Backend Engineer,ruby,5,176,2.84
2026-06,Backend Engineer,rust,8,176,4.55
2026-06,Backend Engineer,sql,5,176,2.84
2026-06,Backend Engineer,terraform,7,176,3.98
2026-06,Backend Engineer,typescript,5,176,2.84
2026-06,DevOps Engineer,kubernetes,6,24,25.0
2026-06,Frontend Engineer,ai,17,220,7.73
2026-06,Frontend Engineer,aws,8,220,3.64
2026-06,Frontend Engineer,go,11,220,5.0
2026-06,Frontend Engineer,javascript,26,220,11.82
2026-06,Frontend Engineer,kubernetes,5,220,2.27
2026-06,Frontend Engineer,llm,5,220,2.27
2026-06,Frontend Engineer,nextjs,9,220,4.09
2026-06,Frontend Engineer,python,17,220,7.73
2026-06,Frontend Engineer,react,32,220,14.55
2026-06,Frontend Engineer,typescript,26,220,11.82
2026-06,General Software Engineer,ai,40,62,64.52
2026-06,ML / AI Engineer,ai,16,51,31.37
2026-06,ML / AI Engineer,llm,6,51,11.76
2026-06,ML / AI Engineer,machine learning,16,51,31.37
